step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step,encounter_gate_suppressed
6701,0,33.50499999999869,0.005,1,2,0.14802732889093098,-1.3061333851766308,0.3322510798408627,0.01,0.005,1.0194591822019983,1.00000616098866,False,True,1,False
6702,0,33.50999999999869,0.005,1,2,0.1459438016088903,-1.302871887218352,0.3364081729926297,0.01,0.005,1.0191283294402473,1.0000063381559061,False,True,1,False
6703,0,33.51499999999869,0.005,1,2,0.1438504665972514,-1.2997295849296244,0.34060403664676864,0.01,0.005,1.0188061819156875,1.000006523966028,False,True,1,False
6704,0,33.519999999998696,0.005,1,2,0.14174680697812952,-1.296703870246435,0.34484158157428585,0.01,0.005,1.0184937155964187,1.0000067190471005,False,True,1,False
6705,0,33.5249999999987,0.005,1,2,0.1396322879385978,-1.293792089620849,0.34912399946431444,0.01,0.005,1.0181919983518077,1.000006924087721,False,True,1,False
6706,0,33.5299999999987,0.005,1,2,0.13750635537434283,-1.2909915359981248,0.3534547878989131,0.01,0.005,1.0179025604586454,1.000007139844329,False,True,1,False
6707,0,33.5349999999987,0.005,1,2,0.1353684344041995,-1.2882994440490716,0.35783777841393777,0.01,0.005,1.0176266347667118,1.0000073671496104,False,True,1,False
6708,0,33.539999999998706,0.005,1,2,0.1332179277445932,-1.2857129750635303,0.36227716809460125,0.01,0.005,1.0173660831018074,1.0000076069221493,False,True,1,False
6709,0,33.54499999999871,0.005,1,2,0.13105421392573535,-1.283229211421939,0.3667775552392611,0.01,0.005,1.0171227107316219,1.000007860177578,False,True,1,False
6710,0,33.54999999999871,0.005,1,2,0.1288766453279375,-1.2808451409516446,0.37134397972165045,0.01,0.005,1.0168985998705116,1.0000081280414777,False,True,1,False
6711,0,33.554999999998714,0.005,1,2,0.12668454601980947,-1.2785576432448742,0.3759819687877998,0.01,0.005,1.0166960912051186,1.0000084117643644,False,True,1,False
